"Long","Lat","S_No_","USIN","State","District","Block_Mand","Village","CCE_Date","Target_Cro","QC_Status","Wet_Weight","Dry_Weight","Yield_kg_h","allahabad_10_oct_sm_30","allahabad_14_aug_sm_30","Allahabad_max_GS_30","Allahabad_max_VS_30","Allahabad_min_GS_30","Allahabad_min_VS_30","Allahabad_rf_GS_30","Allahabad_rf_VS_30","CCCI_Allahabad_30","CWSI_Allahabad_30","EVI_allahabad_20200930_30m","NDVI_allahabad_20200930_30m"
81.961379,25.286059,285,57446,"UTTAR PRADESH","Allahabad","Karchhana","Pach Dewra","2020/11/24","Paddy - IR","Accepted",19.26,17.334,3466.8,0.34929946064949,0.329256325960159,33.3009452819824,34.0122375488281,19.4347248077393,25.7964191436768,0.0885888412594795,301.264678955078,0.515175938606262,0.702537655830383,0.524669051170349,0.558974385261536
81.964859,25.288236,286,57445,"UTTAR PRADESH","Allahabad","Karchhana","Bendo","2020/11/24","Paddy - IR","Accepted",7.835,7.0515,1410.3,0.317093878984451,0.330453902482986,33.3009452819824,34.0122375488281,19.4347248077393,25.7964191436768,0.0885888412594795,301.264678955078,0.49481800198555,0.713705003261566,0.683039367198944,0.623791813850403
81.968184,25.285613,287,57444,"UTTAR PRADESH","Allahabad","Karchhana","Pach Dewra","2020/11/24","Paddy - IR","Accepted",13.5,12.15,2430,0.351108729839325,0.320679724216461,33.3009452819824,34.0122375488281,19.4347248077393,25.7964191436768,0.0885888412594795,301.264678955078,0.499531447887421,0.728069543838501,0.471594840288162,0.495610058307648
81.976991,25.28002,288,57443,"UTTAR PRADESH","Allahabad","Karchhana","Harrai","2020/11/24","Paddy - IR","Accepted",18.43,16.587,3317.4,0.269478589296341,0.341938465833664,33.2850685119629,34.0200691223145,19.4356479644775,25.7987270355225,0.0840853750705719,299.582153320312,0.50492262840271,0.69462925195694,0.646010756492615,0.615918815135956
81.978476,25.281246,289,57442,"UTTAR PRADESH","Allahabad","Karchhana","Harrai","2020/11/24","Paddy - IR","Accepted",11.19,10.071,2014.2,0.348215252161026,0.335385382175446,33.2850685119629,34.0200691223145,19.4356479644775,25.7987270355225,0.0840853750705719,299.582153320312,0.497750610113144,0.684938311576843,0.669397354125977,0.622002065181732
81.990425,25.302958,290,57441,"UTTAR PRADESH","Allahabad","Karchhana","Diha Uperhar","2020/11/24","Paddy - IR","Accepted",15.66,14.094,2818.8,0.341221451759338,0.335213154554367,33.2502212524414,34.0442237854004,19.4373817443848,25.8064842224121,0.0682023167610168,293.068267822266,0.507001399993896,0.707078874111176,0.624471366405487,0.630156457424164
81.985667,25.28955,291,57440,"UTTAR PRADESH","Allahabad","Karchhana","Harrai","2020/11/24","Paddy - IR","Accepted",12.18,10.962,2192.4,0.341810584068298,0.299335539340973,33.2691955566406,34.0279006958008,19.4365730285645,25.8010349273682,0.0795819163322449,297.899658203125,0.505463302135468,0.684254348278046,0.636192798614502,0.650165021419525
81.985132,25.286902,292,57439,"UTTAR PRADESH","Allahabad","Karchhana","Harrai","2020/11/24","Paddy - IR","Accepted",16.41,14.769,2953.8,0.339226752519608,0.336576819419861,33.2691955566406,34.0279006958008,19.4365730285645,25.8010349273682,0.0795819163322449,297.899658203125,0.502574741840363,0.694447755813599,0.608332872390747,0.62406462430954
82.221553,25.34742,309,57388,"UTTAR PRADESH","Allahabad","Handia","Jagua Sodha","2020/11/18","Paddy - IR","Accepted",12.89,11.601,2320.2,0.354242205619812,0.315063059329987,32.9229469299316,34.2403335571289,19.4964466094971,25.8982582092285,0.0792003720998764,273.529174804688,0.50269091129303,0.705197393894196,0.618798971176147,0.659350872039795
82.281597,25.334539,310,57387,"UTTAR PRADESH","Allahabad","Handia","radar","2020/11/18","Paddy - IR","Accepted",7.88,7.092,1418.4,0.309557378292084,0.327355951070786,32.831470489502,34.2830352783203,19.5039844512939,25.9121761322021,0.126360893249512,287.133392333984,0.510173618793488,0.753123104572296,0.448399901390076,0.545248866081238
82.082537,25.004544,324,57315,"UTTAR PRADESH","Allahabad","Koraon","Kosbhara Kala","2020/11/22","Paddy - IR","Accepted",14.84,13.356,2671.2,0.346267759799957,0.342847734689713,33.1335868835449,33.9715766906738,19.4496192932129,25.7676868438721,0.321209013462067,444.138763427734,0.497863560914993,0.345625519752502,0.671616911888123,0.658576488494873
82.076681,25.016473,325,57314,"UTTAR PRADESH","Allahabad","Koraon","Tarav","2020/11/22","Paddy - IR","Accepted",20.6,18.54,3708,0.353484660387039,0.346297591924667,33.147403717041,33.9729461669922,19.4492149353027,25.7690200805664,0.33366733789444,429.596527099609,0.500942587852478,0.303843915462494,0.47453173995018,0.499699324369431
82.05866,25.005148,326,57313,"UTTAR PRADESH","Allahabad","Koraon","Koraon (NP)","2020/11/22","Paddy - IR","Accepted",14.89,13.401,2680.2,0.350260496139526,0.351189345121384,33.1781845092773,33.961540222168,19.4499187469482,25.7664890289307,0.430453449487686,428.569061279297,0.495913624763489,0.563718497753143,0.653083443641663,0.649472773075104
82.048062,25.021869,327,57312,"UTTAR PRADESH","Allahabad","Koraon","Badaua","2020/11/22","Paddy - IR","Accepted",13.95,12.555,2511,0.3437559902668,0.329209208488464,33.1914749145508,33.9665184020996,19.44899559021,25.769287109375,0.404494225978851,406.937377929688,0.494481354951859,0.621000468730927,0.499797642230988,0.499747097492218
82.027518,25.03338,328,57311,"UTTAR PRADESH","Allahabad","Koraon","Shamlipur","2020/11/22","Paddy - IR","Accepted",14.89,13.401,2680.2,0.328681886196136,0.333723902702332,33.2209434509277,33.9628829956055,19.4486694335938,25.7698230743408,0.431675761938095,390.599609375,0.50113707780838,0.648316621780396,0.715278923511505,0.683678865432739
82.025046,25.044016,329,57310,"UTTAR PRADESH","Allahabad","Koraon","Gaura","2020/11/22","Paddy - IR","Accepted",12.13,10.917,2183.4,0.343949407339096,0.337479680776596,33.220329284668,33.9666748046875,19.4481544494629,25.771333694458,0.395668387413025,383.133026123047,0.510029315948486,0.733108222484589,0.360115230083466,0.385493993759155
82.008458,25.048233,330,57309,"UTTAR PRADESH","Allahabad","Meja","Suhas","2020/11/22","Paddy - IR","Accepted",16.42,14.778,2955.6,0.332703739404678,0.328941494226456,33.2507553100586,33.9585113525391,19.4483337402344,25.7701797485352,0.449216604232788,375.770416259766,0.506994009017944,0.717968642711639,0.678323149681091,0.614210784435272
