USIN,State,District,Block_Mand,Gram_Panch,Village,CE_GP_Code,CE_G_P,CCE_Date,Lat,Long,Target_Cro,State_1,District_1,Sub_Distri,Village_1,UID,Remark,Yield_kg_h,CCCI_Shajanpur_30,CWSI_Shajanpur_30,EVI_sen2_shajanpur_20210215_gcs_30,NDVI_sen2_shajanpur_20210215_gcs_30,Shajapur_01_Jan_Soil_moisture1,Shajapur_2_march_Soil_Moisture,UP_Shahjahanpur_min_GS,UP_Shahjahanpur_min_VS,UP_Shahjahanpur_rf_GS,UP_Shahjahanpur_rf_VS,UP_Shajahapur_max_GS,UP_Shajahapur_max_VS
63479,UTTAR PRADESH,Shahjahanpur,Jalalabad,kirtapur kumharia,Kirtapur T. Kumharia,87459,BAGDER,4/16/2021,27.69009612,79.66693901,Wheat-Irri,Uttar Pradesh,Shahjahanpur,Jalalabad,Kirtapur T. Kumharia,UP_VILL_642096,GP_Available,2082.617891,0.547323585,0.096497729,0.757393837,0.604308069,0.337486714,0.27897048,14.8833704,8.434808731,15.56977272,6.706865788,30.89110756,21.90530586
63478,UTTAR PRADESH,Shahjahanpur,Jalalabad,guragawan,Etmadpur T. Gurgawan,87083,GURGAVA,4/16/2021,27.69640547,79.68148367,Wheat-Irri,Uttar Pradesh,Shahjahanpur,Jalalabad,Gurgawan,UP_VILL_642097,GP_Available,2338.26859,0.585372627,0.108242273,0.714998662,0.585120559,0.359711081,0.28982693,14.88988113,8.455096245,14.99674511,6.075641155,30.8803463,21.89800835
63471,UTTAR PRADESH,Shahjahanpur,Jalalabad,gularia,Gularia,242399,MUDIYA NAGLA NATH,4/16/2021,27.70043782,79.69505589,Wheat-Irri,Uttar Pradesh,Shahjahanpur,Jalalabad,Sarkhanda,UP_VILL_642100,GP_Available,1955.831772,0.581126571,0.15133515,0.629935324,0.534198105,0.348340601,0.297708005,14.88324451,8.45406723,14.17091942,5.898704529,30.87323952,21.87326622
63313,UTTAR PRADESH,Shahjahanpur,Shahjahanpur,jamaur,Jamaur,86978,JAMAUR,4/15/2021,27.83849133,79.85470159,Wheat-Irri,Uttar Pradesh,Shahjahanpur,Shahjahanpur,Jamaur,UP_VILL_643643,GP_Available,2084.696352,0.594965458,0.431659549,0.320111394,0.316271067,0.347990453,0.330729812,14.87621021,8.489768028,2.698981762,1.03528738,30.8151741,21.80187988
63217,UTTAR PRADESH,Shahjahanpur,Tilhar,Tilhar,Kaswa Tilhar (Chungi),242757,SHIVDAS PUR,4/14/2021,27.95352604,79.75857146,Wheat-Irri,Uttar Pradesh,Shahjahanpur,Tilhar,Kaswa Tilhar (Chungi),UP_VILL_643665,GP_Available,1964.145616,0.539843917,0.289926082,0.317304999,0.305482537,0.325244069,0.339862406,14.84161568,8.456382751,3.427695036,6.930996418,30.728405,21.75318527
63405,UTTAR PRADESH,Shahjahanpur,Powayan,bhaypur,Bhaipur,87507,RAKHIYA BUZURG,4/15/2021,28.00921083,79.94524091,Wheat-Irri,Uttar Pradesh,Shahjahanpur,Powayan,Fattepur J. Murha,UP_VILL_645719,GP_Available,2028.577906,0.516783893,0.483898729,0.267194122,0.291477948,0.337269902,0.346262246,14.93514919,8.546870232,2.606178999,4.559079647,30.74196815,21.78915024
63403,UTTAR PRADESH,Shahjahanpur,Powayan,Raipur,Gargaiya,242752,KAIMRIYA MATLOOKPUR,04-15-2021,28.01947451,79.95266198,Wheat-Irri,Uttar Pradesh,Shahjahanpur,Powayan,Bhaipur,UP_VILL_645720,GP_Available,2893.217669,0.576108038,0.285116553,0.318442911,0.3083691,0.333423644,0.284264654,14.94237041,8.553510666,2.665353298,4.666260242,30.73928833,21.78841782
63272,UTTAR PRADESH,Shahjahanpur,Powayan,bhadheri bhekh,Baderi Bheekh,87480,IMALIA HAMIDNAGAR,04-14-2021,28.00693718,79.90550582,Wheat-Irri,Uttar Pradesh,Shahjahanpur,Powayan,Imalia Hamidnagar,UP_VILL_645723,GP_Available,2159.520947,0.53305763,0.336615145,0.545687199,0.487337142,0.319692343,0.261768937,14.9148407,8.527604103,3.091133595,5.349020004,30.73272514,21.78064156
63271,UTTAR PRADESH,Shahjahanpur,Powayan,imliya hamidnagar,Imalia Hamidnagar,87480,IMALIA HAMIDNAGAR,04-14-2021,28.00049561,79.90494945,Wheat-Irri,Uttar Pradesh,Shahjahanpur,Powayan,Imalia Hamidnagar,UP_VILL_645723,GP_Available,2529.486999,0.513174534,0.349822551,0.424753249,0.411678463,0.329789877,0.268067211,14.9148407,8.527604103,3.091133595,5.349020004,30.73272514,21.78064156
63406,UTTAR PRADESH,Shahjahanpur,Powayan,palhanapur,Palhanapur,87498,NATHUAPUR,4/15/2021,27.99939766,79.93357436,Wheat-Irri,Uttar Pradesh,Shahjahanpur,Powayan,Palhanapur,UP_VILL_645725,GP_Available,3398.283684,0.568068743,0.335246146,0.517032385,0.469679415,0.300714344,0.290827125,14.92820072,8.54043293,2.526125669,4.418366909,30.7447567,21.7896862
63393,UTTAR PRADESH,Shahjahanpur,Powayan,Tera,Katia Bujurg,87517,TERA,4/15/2021,27.96798851,79.91728781,Wheat-Irri,Uttar Pradesh,Shahjahanpur,Powayan,Tera,UP_VILL_645730,GP_Available,2772.666933,0.619302273,0.355573326,0.442413568,0.427303016,0.358671755,0.344893456,14.91352463,8.526749611,2.081210613,3.66461587,30.75586128,21.79263306
63269,UTTAR PRADESH,Shahjahanpur,Powayan,katiya bujurg,Katia Bujurg,87264,KHAMARIA GADIYANA,4/14/2021,27.97655896,79.9149206,Wheat-Irri,Uttar Pradesh,Shahjahanpur,Powayan,Karnapur,UP_VILL_645731,GP_Available,2217.717854,0.57850194,0.320744485,0.45985055,0.430790037,0.345823675,0.294262916,14.91512299,8.528167725,2.303381681,4.036345482,30.75065422,21.79016685
63270,UTTAR PRADESH,Shahjahanpur,Powayan,imliya hamidnagar,Imalia Hamidnagar,87408,BHTIURA BAHLOLPUR,4/14/2021,27.9899508,79.90574875,Wheat-Irri,Uttar Pradesh,Shahjahanpur,Powayan,Dilawarpur,UP_VILL_645732,GP_Available,3279.811409,0.496628374,0.290310532,0.385439008,0.392086983,0.328338981,0.322560847,14.91191673,8.524971962,2.625912189,4.572028637,30.74324417,21.7853775
63408,UTTAR PRADESH,Shahjahanpur,Powayan,karmaiya pur,karmaiya pur,87483,KATIA BUJURG,4/15/2021,27.97504647,79.93280116,Wheat-Irri,Uttar Pradesh,Shahjahanpur,Powayan,Katia Bujurg,UP_VILL_645733,GP_Available,1808.261043,0.609980702,0.288863808,0.505147994,0.447943985,0.33917594,0.345883459,14.92445755,8.537192345,2.123541832,3.741971254,30.75495338,21.79501152
63407,UTTAR PRADESH,Shahjahanpur,Powayan,katiya bujurg,Katia Bujurg,87483,KATIA BUJURG,04-15-2021,27.98708143,79.92604995,Wheat-Irri,Uttar Pradesh,Shahjahanpur,Powayan,Katia Bujurg,UP_VILL_645733,GP_Available,3518.834421,0.478880584,0.318627983,0.452933073,0.436228126,0.357721716,0.250719965,14.921525,8.534198761,2.42519331,4.244122028,30.74765205,21.79002571
63395,UTTAR PRADESH,Shahjahanpur,Powayan,katiya bujurg,katiya bhujurg,87483,KATIA BUJURG,4/15/2021,27.99005977,79.92017422,Wheat-Irri,Uttar Pradesh,Shahjahanpur,Powayan,Katia Bujurg,UP_VILL_645733,GP_Available,2473.368553,0.67391187,0.332019776,0.46249634,0.428907126,0.330298096,0.30344826,14.92325974,8.535717964,2.636924744,4.599085808,30.7424984,21.78746033
63394,UTTAR PRADESH,Shahjahanpur,Powayan,katiya bujurg,Katia Bujurg,87483,KATIA BUJURG,4/15/2021,27.97699753,79.91882778,Wheat-Irri,Uttar Pradesh,Shahjahanpur,Powayan,Katia Bujurg,UP_VILL_645733,GP_Available,3169.652978,0.61587429,0.341899216,0.549304903,0.498437166,0.327695221,0.30875504,14.91512299,8.528167725,2.303381681,4.036345482,30.75065422,21.79016685
63575,UTTAR PRADESH,Shahjahanpur,Jalalabad,roopapur,Roopapur,269306,PITAARMAU,4/17/2021,27.72827993,79.61943691,Wheat-Irri,Uttar Pradesh,Shahjahanpur,Jalalabad,Dulramai,UP_VILL_646087,GP_Available,1958.949463,0.56280297,0.166313305,0.714805067,0.586596847,0.335293114,0.226631582,14.84043694,8.350657463,14.68989658,8.389367104,30.89977074,21.8516674
63330,UTTAR PRADESH,Shahjahanpur,Jalalabad,sikandarpur sujawal,Sujawalpur,87112,SIKENDERPUR AFGANAN,4/15/2021,27.73837863,79.66580082,Wheat-Irri,Uttar Pradesh,Shahjahanpur,Jalalabad,Sujawalpur,UP_VILL_646094,GP_Available,2230.18862,0.528785646,0.191563755,0.57964772,0.50980866,0.360261202,0.315356046,14.84531307,8.390162468,13.40591431,7.34815979,30.8776722,21.81662941
63470,UTTAR PRADESH,Shahjahanpur,Jalalabad,gularia,Gularia,87081,GULARIA,4/16/2021,27.70946501,79.68893785,Wheat-Irri,Uttar Pradesh,Shahjahanpur,Jalalabad,Gularia,UP_VILL_646109,GP_Available,2832.942301,0.587847531,0.165383607,0.713107049,0.576291859,0.357393324,0.2710419,14.88011551,8.443927765,14.45688248,6.221532345,30.87807655,21.8765564
